TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BMLC11;92,98;7,48;0,87;9.983,70;2,83;16,70;10,08;106.591.626,64;1.538,00;Ativa;
BLCA11;0,00;0,00;;;100,22;;;159.761.471,97;77,00;Ativa;
GTWR11;76,20;10,62;0,76;946.768,75;0,41;;;1.210.745.245,53;26.927,00;Ativa;
KINP11;13,95;7,31;1,78;5.655,26;10,59;;;56.060.784,99;512,00;Ativa;
VIDS11;0,00;0,00;;;1,19;;;49.286.244,22;516,00;Ativa;
MCHY11;120,00;2,18;1,20;362.638,27;1,50;;;354.104.192,56;5,00;--;
PQDP11;2.001,00;5,46;0,55;105.890,85;0,92;-13,95;-12,43;865.741.812,20;4.082,00;Passiva;
JPPA11;94,68;11,77;0,91;148.430,10;5,82;;;62.639.960,29;687,00;Ativa;
SJAU11;119,80;0,00;1,20;599,00;0,38;;;791.446.660,35;122,00;Passiva;
RCFF11;94,06;5,43;0,99;120,50;12,21;;;30.827.762,42;80,00;Ativa;
MINT11;91,98;0,00;0,77;18.448,71;19,59;;;62.566.906,35;64,00;Ativa;
GALG11;100,15;9,11;0,97;3.074.339,80;0,03;;;580.866.732,27;5.428,00;Ativa;
FINF11;0,00;0,00;;;0,25;;;91.882.134,04;4,00;Ativa;
FLCR11;101,99;8,19;1,01;241.942,70;13,33;;;50.371.156,87;380,00;Ativa;
HGIC11;106,99;5,40;1,02;56.407,61;0,05;;;24.446.514,95;216,00;Ativa;
BLMO11;26.004,50;0,00;1,00;147.358,67;6,45;;;98.403.990,71;91,00;Ativa;
LPLP11;0,00;0,00;;;0,80;;;54.968.018,04;2,00;Ativa;
VGHF11;9,78;9,20;1,04;1.282.027,85;1,21;;;155.268.515,70;18.337,00;Ativa;
DOMC11;439,00;0,00;3,96;;0,04;;-8,60;270.930.739,68;1.143,00;Ativa;
NAVT11;73,89;4,53;0,81;266.196,35;3,02;;;96.590.206,86;1.950,00;Ativa;
FLMA11;135,00;4,28;0,87;87.416,35;3,39;-12,46;3,99;214.871.186,14;21.132,00;Ativa;
IBFF11;62,92;8,57;0,82;124.968,65;7,38;;;51.124.674,16;5.186,00;Ativa;
HSRE11;97,50;5,32;1,00;6.163.273,38;1,97;;;828.392.155,08;47,00;Ativa;
ALZR11;109,78;6,21;1,01;919.796,05;16,73;-1,37;6,40;642.993.788,51;96.277,00;Ativa;
BREV11;95,00;6,14;0,90;18.571,55;1,05;;;101.686.256,15;83,00;Ativa;
ZIFI11;1.199,98;0,00;1,09;85.999,08;1,47;;;22.908.321,71;14,00;Ativa;
RBRF11;73,25;10,59;0,85;2.369.337,15;3,61;-3,94;-9,23;1.178.000.223,42;77.406,00;Ativa;
MOFF11;0,00;0,00;;;1,85;;;153.171.562,70;3,00;Ativa;
SBCL11;0,00;0,00;;;135,26;;;33.243.135,47;2,00;Ativa;
DAMT11B;1,42;0,00;1,60;508,13;0,03;;;106.298.503,77;51,00;Passiva;
BTSG11;0,00;0,00;;;0,19;;;75.516.222,78;53,00;Ativa;
QAMI11;93,25;7,25;1,01;24.424,16;2,00;;;74.062.458,69;650,00;Ativa;
MGLG11;83,37;2,68;0,85;57.963,42;4,31;;;112.790.091,71;1.096,00;Ativa;
URPR11;115,05;20,80;1,21;4.476.638,85;61,23;;;158.328.629,75;23.092,00;Ativa;
CXCO11;89,00;5,16;0,89;258.410,35;0,99;;;393.906.664,39;12.833,00;Ativa;
SEQR11;80,05;6,79;0,77;150.476,85;3,29;;;168.059.853,13;1.643,00;Ativa;
PRTS11;117,70;0,00;1.681,43;;26,15;;;3.733.429,97;11,00;Ativa;
NVHO11;12,25;8,46;0,99;2.478,00;1,07;11,19;-27,74;514.160.788,39;2.534,00;Ativa;
QIRI11;99,17;7,36;1,11;945,67;2,53;;;13.449.397,72;162,00;Passiva;
HGCR11;104,30;9,05;1,02;2.014.337,35;1,37;1,08;-2,13;1.271.227.911,85;60.119,00;Ativa;
PLCR11;88,16;11,42;0,94;499.019,95;12,95;;;196.925.565,21;8.877,00;Ativa;
CNES11;36,40;4,44;0,42;8.915,55;5,78;-5,48;-20,64;257.225.669,98;2.351,00;Passiva;
FVPQ11;112,95;4,26;0,58;89.638,65;3,90;-13,62;-23,27;549.310.303,01;4.782,00;Passiva;
